Field,Subfields,Job roles,Programming Languages ,Tools,Skills,Educational Background
Data Science,Data Visualization,BI Developer (Business Intelligence),"SQL, Python, DAX, MDX","Power BI, Tableau, Looker, QlikView, SSRS, SSAS","data modeling, ETL, OLAP cubes, report development, KPI definition, performance tuning, stakeholder engagement, documentation, problem solving","Bachelor's (Information Systems, Computer Science, Business Analytics) "
Data Science,Data Visualization,Data Dashboard Developer,"JavaScript, SQL, Python, R","Tableau, Power BI, Grafana, Kibana, Looker","dashboard design, user requirements gathering, real-time data integration, responsive layouts, performance optimization, drill-down capabilities, user testing, collaboration, adaptability","Bachelor's (Computer Science, Data Science, Information Systems)"
Data Science,Data Visualization,Data Storytelling Expert,"Python, R, SQL, JavaScript","Tableau, Power BI, D3.js, Adobe Illustrator, Canva","narrative development, audience analysis, visualization best practices, presentation skills, data interpretation, infographics, layout design, persuasive communication, creativity","Bachelor's (Data Science, Communications, Business Analytics)"
Data Science,Data Visualization,Tableau Developer,"SQL, Python, R, MDX","Tableau Desktop, Tableau Server, Prep, Extensions API","workbook development, data blending, parameterization, calculated fields, dashboard actions, performance tuning, version control, training users, troubleshooting","Bachelor's (Computer Science, Data Science, Business Analytics)"
Data Science,Data Visualization,Power BI Analyst,"DAX, M (Power Query), SQL, Python","Power BI Desktop, Power BI Service, Azure Synapse, Analysis Services","data transformation, report authoring, DAX formula writing, row-level security, data gateways, performance tuning, stakeholder workshops, documentation, analytical thinking","Bachelor's (Business Analytics, Information Systems, Data Science)"
Data Science,Data Visualization,Visualization Engineer,"JavaScript, Python, TypeScript, SQL","D3.js, Vega/Vega-Lite, Deck.gl, Kepler.gl, Three.js","custom visual development, front-end integration, WebGL, API design, interactive graphics, performance optimization, code maintainability, collaboration, problem solving","Bachelor's (Computer Science, Data Science, Software Engineering)"
Data Science,Data Visualization,Interactive Data Visuals Designer,"JavaScript, TypeScript, SQL, Python","D3.js, React, Three.js, Deck.gl, Observable","interaction design, UI/UX principles, animation techniques, responsive layouts, prototyping, data binding, storytelling, collaboration, creativity","Bachelor's (Graphic Design, UI/UX Design, Data Science) "
Data Science,Data Visualization,UX-focused Data Analyst,"Python, R, SQL, JavaScript","Tableau, Power BI, Figma, Looker, ggplot2","user research, wireframing, usability testing, data visualization, dashboard design, user journey mapping, communication, empathy, problem solving","Bachelor's (Data Science, UX Design, Human-Computer Interaction) "
Data Science,Data Visualization,D3.js Data Visualizer,"JavaScript, TypeScript, HTML,CSS, SQL","D3.js, SVG, Canvas API, Observable, Webpack","DOM manipulation, data binding, scalable vector graphics, animation & transitions, performance tuning, custom chart design, debugging, version control, collaboration","Bachelor's (Computer Science, Front-End Development, Data Science)"
Data Science,Data Visualization,Reporting & Visualization Consultant,"SQL, Python, R, JavaScript","Tableau, Power BI, Looker, Qlik Sense, Excel","business requirements gathering, stakeholder management, dashboard & report design, data storytelling, presentation skills, project planning, training, critical thinking, adaptability","Bachelor's (Business Analytics, Information Systems, Data Science)"
Data Science,Data Visualization,Real-time Data Visuals Engineer,"JavaScript, Python, Go, SQL","Grafana, Kibana, WebSockets, D3.js, Apache Kafka","streaming data integration, low-latency rendering, WebSocket implementation, performance optimization, real-time dashboards, scalable architecture, monitoring, problem solving, teamwork","Bachelor's (Computer Science, Data Engineering, Information Systems) "
Data Science,DataOps,DataOps Engineer,"Python, SQL, Bash, Go","Airflow, Dagster, Prefect, Kubernetes, Docker, Jenkins, Great Expectations, Git","pipeline orchestration, CI/CD, monitoring & alerting, automation, version control, collaboration, observability, troubleshooting, agile methodologies","Bachelor's (Computer Science, Data Engineering, Information Systems)"
Data Science,DataOps,Data Pipeline Automation Engineer,"Python, SQL, Java, Bash","Apache Airflow, Luigi, Prefect, AWS Step Functions, Jenkins, Terraform, GitLab CI/CD","workflow scheduling, infrastructure as code, error handling, logging, scalability, version control, testing & validation, documentation, communication","Bachelor's (Computer Science, Data Engineering, Software Engineering)"
Data Science,DataOps,Data Platform Reliability Engineer,"Python, Go, SQL, Bash","Kubernetes, Prometheus, Grafana, Terraform, Docker, AWS CloudWatch, ELK Stack, PagerDuty","SRE principles, monitoring & alerting, incident response, capacity planning, chaos engineering, performance tuning, automation, SLIs/SLOs, collaboration","Bachelor's (Computer Science, Data Engineering, Systems Engineering)"
Data Science,DataOps,Data Quality Assurance Engineer,"Python, SQL, R, Java","Great Expectations, Deequ, Talend, Apache Griffin, dbt, Informatica, Jenkins, Git","data validation, test automation, profiling, anomaly detection, data lineage, root cause analysis, documentation, attention to detail, teamwork","Bachelor's (Information Systems, Data Science, Computer Science)"
Data Science,DataOps,Data Governance Specialist,"SQL, Python, R, Excel","Collibra, Alation, Apache Atlas, Informatica Axon, Microsoft Purview, Talend Data Catalog","data cataloging, metadata management, policy development, data lineage, compliance, stakeholder engagement, training, communication, attention to compliance","Bachelor's (Information Systems, Data Management, Business Analytics)"
Data Science,DataOps,CI/CD for Data Engineer,"Python, YAML, SQL, Bash","Jenkins, GitLab CI/CD, CircleCI, Azure DevOps, Docker, Kubernetes, Terraform, dbt","pipeline automation, version control, testing frameworks, deployment strategies, infrastructure as code, monitoring, rollback procedures, collaboration, documentation","Bachelor's (Computer Science, Software Engineering, Data Engineering)"
Data Science,DataOps,Metadata Management Engineer,"SQL, Python, Java, R","Collibra, Alation, Apache Atlas, Talend Data Catalog, Informatica EDC, AWS Glue Data Catalog","metadata modeling, ontology design, data lineage, API integration, data discovery, governance frameworks, documentation, stakeholder collaboration, attention to detail","Bachelor's (Information Systems, Data Management, Computer Science)"
Data Science,DataOps,Data Observability Engineer,"Python, SQL, Go, Bash","Monte Carlo, Databand, Bigeye, Great Expectations, Prometheus, Grafana, AWS CloudWatch","data lineage visualization, anomaly detection, SLA monitoring, alert configuration, root-cause analysis, instrumentation, dashboarding, collaboration, problem solving","Bachelor's (Computer Science, Data Engineering, Systems Engineering)"
Data Science,DataOps,Data Orchestration Specialist,"Python, SQL, Bash, Java","Apache Airflow, Prefect, Dagster, AWS Step Functions, Kubernetes, Argo Workflows, Jenkins","workflow design, dependency management, error handling, retry logic, scheduling strategies, scalability, logging, version control, communication","Bachelor's (Data Engineering, Computer Science, Information Systems)"
Data Science,DataOps,DataOps Architect,"Python, SQL, Go, YAML","Kubernetes, Terraform, Docker, Airflow, dbt, Jenkins, GitLab CI/CD, Great Expectations","architecture design, CI/CD pipeline design, infrastructure as code, governance policies, scalability planning, monitoring strategy, security best practices, cross-team alignment, documentation","Master's (Computer Science, Data Engineering, Information Systems)"
Data Science,DataOps,Data Monitoring & Alerting Engineer,"Python, SQL, Bash, Go","Prometheus, Grafana, PagerDuty, Datadog, ELK Stack, AWS CloudWatch, Splunk","metric collection, SLA/SLO definitions, alert thresholds, dashboard creation, incident response, log aggregation, anomaly detection, collaboration, troubleshooting","Bachelor's (Computer Science, Systems Engineering, Information Systems)"
Data Science,DataOps,Collaborative Data Workflow Engineer,"Python, SQL, R, Bash","dbt, GitHub Actions, Airflow, Prefect, Slack, Confluence, Jira","collaborative development, version control, CI/CD integration, documentation, workflow templating, role-based access, code reviews, continuous testing, communication","Bachelor's (Data Science, Information Systems, Computer Science"
Web Development,Frontend Development,Frontend Developer,"JavaScript,TypeScript,HTML,CSS","Git,npm,Webpack,Babel,React,Vue.js,VS Code,Chrome DevTools,Figma,Jest","Responsive design,UI/UX design,Accessibility,Cross-browser compatibility,Debugging,Performance optimization,CSS pre-processing,Component-based architecture,Communication,Collaboration","Bachelor's (Computer Science, Software Engineering, Web Development)"
Web Development,Frontend Development,UI Developer,"JavaScript,TypeScript,HTML,CSS","Git,npm,Webpack,Figma,Sketch,VS Code,Chrome DevTools,Jest,Storybook,Adobe XD","UI/UX design,Accessibility,Responsive design,Prototyping,Wireframing,Collaboration,Communication,Attention to detail,Problem-solving,User research","Bachelor's (Computer Science, UI/UX Design, Web Development)"
Web Development,Frontend Development,JavaScript Developer,"JavaScript,TypeScript,HTML,CSS","Git,npm,Webpack,Babel,ESLint,VS Code,Chrome DevTools,Node.js,Postman,Jest","Asynchronous programming,Event-driven architecture,Debugging,Performance optimization,API integration,Cross-browser compatibility,Problem-solving,Version control,Collaboration,Communication","Bachelor's (Computer Science, Software Engineering, Web Development)"
Web Development,Frontend Development,React.js Developer,"JavaScript,TypeScript,HTML,CSS","Git,npm,Webpack,Babel,VS Code,Chrome DevTools,ESLint,Prettier,Jest,Storybook","Component-based architecture,State management,Hooks,Performance optimization,Debugging,API integration,Testing,Responsive design,Communication,Collaboration","Bachelor's (Computer Science, Software Engineering, Web Development)"
Web Development,Frontend Development,Angular Developer,"TypeScript,JavaScript,HTML,CSS","Git,npm,Angular CLI,VS Code,Chrome DevTools,RxJS,ESLint,Jasmine,Protractor,Karma","Component-based architecture,Dependency injection,Reactive programming,Routing,Forms management,Testing,Performance optimization,Debugging,Collaboration,Communication","Bachelor's (Computer Science, Software Engineering, Web Development)"
Web Development,Frontend Development,Vue.js Developer,"JavaScript,TypeScript,HTML,CSS","Git,npm,Vue CLI,VS Code,Chrome DevTools,Vuex,Vue Router,ESLint,Jest,Cypress","Component-based architecture,Reactive data binding,State management,Routing,Composition API,Testing,Debugging,Performance optimization,Collaboration,Communication","Bachelor's (Computer Science, Software Engineering, Web Development)"
Web Development,Frontend Development,HTML/CSS Specialist,"HTML,CSS,JavaScript","Git,Sass,Less,PostCSS,VS Code,Chrome DevTools,Stylelint,Gulp,Grunt,Emmet","Responsive design,Accessibility,Semantic markup,CSS architecture (BEM),Cross-browser compatibility,Flexbox/Grid,Performance optimization,Debugging,Attention to detail,Collaboration","Bachelor's (Web Development, UI/UX Design, Computer Science)"
Web Development,Frontend Development,Web UI Engineer,"JavaScript,TypeScript,HTML,CSS","Git,npm,Webpack,Babel,VS Code,Chrome DevTools,Storybook,Jest,ESLint,Figma","Component-based architecture,UI/UX design,Responsive design,Accessibility,Performance optimization,Debugging,API integration,Collaboration,Communication","Bachelor's (Computer Science, UI/UX Design, Software Engineering)"
Web Development,Frontend Development,Mobile Web Interface Developer,"JavaScript,TypeScript,HTML,CSS","Git,npm,Webpack,Chrome DevTools,Figma,React Native CLI,Ionic CLI,VS Code,Postman,Jest","Responsive design,Touch optimization,Progressive Web Apps,Cross-platform compatibility,Performance optimization,Offline support,Debugging,UI/UX design,Accessibility,Communication","Bachelor's (Computer Science, Mobile Development, Web Development)"
Web Development,Frontend Development,Frontend Performance Engineer,"JavaScript,TypeScript,HTML,CSS","Lighthouse,Webpack,Chrome DevTools,Yarn,Vite,Rollup,PageSpeed Insights,New Relic,WebPageTest,PerfTools","Code splitting,Lazy loading,Caching strategies,Minification,Tree shaking,Profiling,Critical rendering path,Network optimization,Monitoring,Collaboration","Bachelor's (Computer Science, Software Engineering, Web Development)"
Web Development,Frontend Development,CSS/Animation Developer,"CSS,Sass,Less,JavaScript","GreenSock (GSAP),Framer Motion,Chrome DevTools,Figma,Adobe After Effects,Webpack,PostCSS,VS Code,Stylelint,Lottie","Keyframe animations,Transitions,Timing functions,SVG animations,Responsive design,Animation performance,CSS architecture (BEM),Prototyping,Creativity,Attention to detail","Bachelor's (UI/UX Design, Web Development, Computer Science)"
Web Development,Frontend Development,Frontend Accessibility Engineer,"HTML,CSS,JavaScript,ARIA","Axe,Wave,Chrome DevTools,Screen reader (NVDA/JAWS),Lighthouse,Deque tools,Storybook,VS Code,Accessibility Insights,Tenon","WCAG guidelines,Semantic HTML,Keyboard navigation,ARIA roles,Contrast testing,Assistive technologies,Accessibility auditing,User testing,Communication,Empathy","Bachelor's (Computer Science, Human-Computer Interaction, Web Development)"
Web Development,Backend Development,Backend Developer,"Java,Python,Go,Ruby,SQL","Git,Docker,Kubernetes,Jenkins,Postman,MySQL,PostgreSQL,Redis,Eclipse,Visual Studio Code","RESTful architecture,Database design,Scalability,Security,Concurrency,Testing,Debugging,CI/CD,Version control,Problem-solving","Bachelor's (Computer Science, Software Engineering)"
Web Development,Backend Development,API Developer,"JavaScript,Python,Java,Go,Ruby","Postman,Swagger,OpenAPI,Docker,Kong,Insomnia,GitHub,GitLab,VS Code,New Relic","RESTful design,Authentication/Authorization,Rate limiting,Versioning,Documentation,Error handling,Testing,Monitoring,Security,Collaboration","Bachelor's (Computer Science, Software Engineering)"
Web Development,Backend Development,Node.js Backend Engineer,"JavaScript,TypeScript,SQL,NoSQL","Node.js,NPM,Yarn,Express,Koa,Docker,MongoDB,Redis,PM2,VS Code","Event-driven architecture,Asynchronous programming,API development,Microservices,Error handling,Testing,Performance tuning,Logging,Security,Collaboration","Bachelor's (Computer Science, Software Engineering)"
Web Development,Backend Development,Python/Django Backend Developer,"Python,SQL,JavaScript","Django,Gunicorn,Celery,PostgreSQL,SQLite,Docker,Redis,PyTest,VS Code,Pipenv","MVC architecture,ORM,Authentication,REST framework,Migrations,Unit testing,Security,Caching,Debugging,Collaboration","Bachelor's (Computer Science, Software Engineering)"
Web Development,Backend Development,Java Spring Developer,"Java,Kotlin,SQL","Spring Boot,Spring MVC,Spring Data,Jenkins,Maven,Gradle,PostgreSQL,MySQL,Docker,IntelliJ IDEA","Dependency injection,ORM,Microservices,REST APIs,Security,Transaction management,Testing,Configuration,Performance tuning,Collaboration","Bachelor's (Computer Science, Software Engineering)"
Web Development,Backend Development,PHP Backend Developer,"PHP,SQL,JavaScript","Laravel,Symfony,Composer,MySQL,PostgreSQL,Redis,Docker,Xdebug,PHUnit,VS Code","MVC architecture,ORM,Routing,Authentication,Error handling,Security,Testing,Caching,Dependency management,Collaboration","Bachelor's (Computer Science, Software Engineering)"
Web Development,Backend Development,Ruby on Rails Developer,"Ruby,SQL,JavaScript","Rails,RSpec,Capistrano,PostgreSQL,MySQL,Redis,Docker,Bundler,VS Code,Puma","MVC architecture,ActiveRecord,RESTful routes,Authentication,Background jobs,Testing,Migrations,Security,Caching,Collaboration","Bachelor's (Computer Science, Software Engineering)"
Web Development,Backend Development,RESTful Services Engineer,"Java,Python,Go,Ruby,JavaScript","Postman,Swagger/OpenAPI,Docker,Kong,Insomnia,Git,VS Code,New Relic,API Gateway,Helm","API design,Versioning,Authentication/Authorization,Error handling,Documentation,Testing,Monitoring,Rate limiting,Security,Collaboration","Bachelor's (Computer Science, Software Engineering)"
Web Development,Backend Development,Microservices Backend Engineer,"Java,Go,Python,JavaScript,Rust","Docker,Kubernetes,Istio,Spring Boot,Express,gRPC,Kafka,Prometheus,Helm,GitLab CI/CD","Service decomposition,Event-driven architecture,Circuit breaker,Service discovery,Scalability,Resilience,Containerization,CI/CD,Monitoring,Collaboration","Bachelor's (Computer Science, Software Engineering, Cloud Computing)"
Web Development,Backend Development,Backend Systems Architect,"Java,Python,Go,Rust,SQL","AWS,GCP,Azure,Kubernetes,Docker,Terraform,Prometheus,Jenkins,ERD tools,Git","System design,Scalability,High availability,Load balancing,Security,Microservices,Distributed systems,Caching strategies,Messaging patterns,Team leadership","Master's (Software Engineering, Systems Architecture)"
Web Development,Backend Development,Database-Driven Web Developer,"SQL,Python,PHP,Ruby,JavaScript","MySQL,PostgreSQL,MongoDB,Redis,Sequelize/ORM,Docker,pgAdmin,MongoDB Compass,Redis Insight,VS Code","Database modeling,ORM,Query optimization,ACID transactions,Schema design,Indexing,Backup & recovery,Security,Data migration,Collaboration","Bachelor's (Computer Science, Information Systems)"
Web Development,Backend Development,Cloud-Native Backend Engineer,"Go,Java,Python,JavaScript,TypeScript","Docker,Kubernetes,Helm,Terraform,Istio,AWS Lambda,GCP Cloud Run,Azure Functions,Prometheus,GitOps","Cloud architecture,Serverless computing,Container orchestration,Infrastructure as code,Scalability,Observability,CI/CD,Security,Cost optimization,Collaboration","Bachelor's (Computer Science, Cloud Engineering)"
Web Development,Full?Stack Development,Full?Stack Developer,"JavaScript,Python,Java,SQL,NoSQL","Git,Docker,Kubernetes,Webpack,Babel,Postman,VS Code,CI/CD pipelines,Azure/AWS/GCP,Jenkins","RESTful APIs,MVC/MVVM architectures,Responsive design,Database design,Authentication/Authorization,DevOps practices,Testing (unit/integration),Performance optimization,Problem-solving,Collaboration","Bachelor's (Computer Science, Software Engineering)"
Web Development,Full?Stack Development,MERN Stack Developer,"JavaScript,TypeScript,HTML,CSS,NoSQL","MongoDB,Express.js,React,Node.js,Git,Webpack,Babel,VS Code,Postman,Jest","RESTful APIs,Component-based architecture,State management,Asynchronous programming,Authentication,CRUD operations,Database modeling,Routing,Testing,Collaboration","Bachelor's (Computer Science, Software Engineering)"
Web Development,Full?Stack Development,MEAN Stack Developer,"JavaScript,TypeScript,HTML,CSS,NoSQL","MongoDB,Express.js,Angular,Node.js,Git,Angular CLI,Webpack,VS Code,Postman,Karma","Component-based architecture,Dependency injection,Routing,Forms management,RESTful APIs,Authentication,CRUD operations,Database modeling,Testing,Collaboration","Bachelor's (Computer Science, Software Engineering)"
Web Development,Full?Stack Development,LAMP Stack Developer,"PHP,MySQL,HTML,CSS,JavaScript","Linux,Apache,MySQL,PHP,Git,Composer,phpMyAdmin,VS Code,Docker,Xdebug","MVC architecture,Server configuration,Database design,RESTful APIs,Authentication,Session management,Security (XSS/SQLi),Caching,Debugging,Collaboration","Bachelor's (Computer Science, Software Engineering)"
Web Development,Full?Stack Development,Full?Stack JavaScript Engineer,"JavaScript,TypeScript,HTML,CSS,NoSQL","Node.js,Express.js,React/Vue/Angular,Git,Webpack,Babel,VS Code,Postman,Docker,Jest","RESTful APIs,Component-based architecture,Asynchronous programming,State management,Authentication,Database design,Testing,Performance optimization,DevOps basics,Collaboration","Bachelor's (Computer Science, Software Engineering)"
Web Development,Full?Stack Development,Python Full?Stack Developer,"Python,JavaScript,HTML,CSS,SQL","Django/Flask,React/Vue,Git,Docker,PostgreSQL,Redis,Webpack,VS Code,Postman,PyTest","MVC architecture,RESTful APIs,ORM,Authentication,Template engines,Database design,Asynchronous tasks,Testing,Deployment (WSGI/ASGI),Collaboration","Bachelor's (Computer Science, Software Engineering)"
Web Development,Full?Stack Development,Web Application Developer,"JavaScript,Python,Java,SQL,HTML","Git,Docker,Webpack,Babel,Postman,VS Code,AWS Elastic Beanstalk,Heroku,Jenkins,Jest","MVC/MVVM,RESTful APIs,Responsive design,Database integration,Authentication,Testing,Debugging,Performance tuning,Collaboration,Problem-solving","Bachelor's (Computer Science, Information Systems)"
Web Development,Full?Stack Development,Full?Stack Cloud Engineer,"JavaScript,Python,Go,SQL,TypeScript","AWS Lambda,AWS EC2,Kubernetes,Docker,Terraform,Serverless Framework,Git,CI/CD pipelines,Helm,Prometheus","Cloud architecture,Serverless design,Infrastructure as Code,Container orchestration,Scalability,Security,Monitoring,CI/CD,Automation,Collaboration","Bachelor's (Computer Science, Cloud Computing)"
Web Development,Full?Stack Development,End-to-End Web Engineer,"JavaScript,TypeScript,Python,SQL,NoSQL","Node.js/Django,React/Vue,GraphQL,Git,Docker,CI/CD pipelines,Postman,VS Code,Webpack,Jest","API design,UI/UX integration,Database modeling,Security,Testing (unit/integration/e2e),Deployment automation,Monitoring,Performance optimization,Debugging,Collaboration","Bachelor's (Computer Science, Software Engineering)"
Web Development,Full?Stack Development,Full?Stack DevOps Developer,"JavaScript,Python,Go,SQL,TypeScript","Docker,Kubernetes,Jenkins,Terraform,GitLab CI/CD,Ansible,Prometheus,ELK Stack,Helm,AWS CloudFormation","CI/CD pipelines,Infrastructure as Code,Containerization,Monitoring,Logging,Automated testing,Security,Configuration management,Scalability,Collaboration","Bachelor's (Computer Science, DevOps Engineering)"
Web Development,Progressive Web Apps (PWA),PWA Developer,"JavaScript, TypeScript, HTML, CSS","Workbox, Lighthouse, Chrome DevTools, webpack, Rollup, npm, Yarn, Git","Service worker lifecycle, manifest configuration, responsive design, offline caching, push notifications, performance optimization, accessibility, cross-browser compatibility","Bachelor's (Computer Science, Web Development, Software Engineering)"
Web Development,Progressive Web Apps (PWA),Service Worker Engineer,"JavaScript, TypeScript","Workbox, Chrome DevTools, Node.js, Git, npm, Yarn","Service worker lifecycle management, caching strategies, background sync, push notifications, offline analytics, debugging, error handling, security","Bachelor's (Computer Science, Web Development)"
Web Development,Progressive Web Apps (PWA),Web App Manifest Specialist,"JavaScript, JSON, HTML","Web App Manifest Validator, Lighthouse, Chrome DevTools, Git, npm","Manifest configuration, metadata management, icon design, theming, cross-platform compatibility, progressive enhancement, accessibility, SEO","Bachelor's (Computer Science, Web Development)"
Web Development,Progressive Web Apps (PWA),Offline-First Web Developer,"JavaScript, TypeScript, HTML, CSS","Workbox, Service Workers, IndexedDB, localForage, PouchDB, Git, npm","Offline caching strategies, data persistence, synchronization, optimistic UI, conflict resolution, performance optimization, reliability, user experience","Bachelor's (Computer Science, Web Engineering)"
Web Development,Progressive Web Apps (PWA),Cross-Platform Web App Developer,"JavaScript, TypeScript, HTML, CSS","Ionic, Capacitor, Cordova, React, Angular, Vue, Git, npm","Responsive design, native integration, PWA standards, testing, performance tuning, UI/UX design, cross-device compatibility, code reuse","Bachelor's (Computer Science, Software Engineering, Web Development)"
Web Development,Progressive Web Apps (PWA),Mobile-Optimized Web App Engineer,"JavaScript, TypeScript, HTML, CSS","Chrome DevTools Device Mode, Lighthouse, FastClick, AMP, Git, npm","Responsive layouts, touch optimization, performance budgets, lazy loading, adaptive images, viewport configuration, TTI optimization, accessibility","Bachelor's (Computer Science, Mobile Computing, Web Development)"
Web Development,Progressive Web Apps (PWA),App Shell Architecture Developer,"JavaScript, TypeScript, HTML, CSS","Workbox, Lighthouse, webpack, Rollup, npm, Git","App shell design, resource prioritization, critical rendering path, caching strategies, offline functionality, performance optimization, scalability, maintainability","Bachelor's (Computer Science, Software Architecture, Web Development)"
Web Development,Progressive Web Apps (PWA),Installable Web Apps Engineer,"JavaScript, TypeScript, HTML, CSS","Chrome DevTools, Lighthouse, Workbox, npm, Yarn, Git","Manifest configuration, service worker integration, push notifications, auto-update mechanisms, security best practices, installation flow, user engagement, cross-platform consistency","Bachelor's (Computer Science, Web Development)"
Web Development,Progressive Web Apps (PWA),Responsive PWA Developer,"JavaScript, TypeScript, HTML, CSS","Bootstrap, Tailwind CSS, CSS Grid/Flexbox, Chrome DevTools, Lighthouse, Git","Responsive design, media queries, adaptive layouts, fluid typography, touch-friendly UI, cross-device testing, performance tuning, progressive enhancement","Bachelor's (Computer Science, Web Design, Web Development)"
Web Development,Progressive Web Apps (PWA),PWA UI/UX Designer,"HTML, CSS, JavaScript","Figma, Sketch, Adobe XD, InVision, Storybook, Chrome DevTools","User journey mapping, interaction design, accessibility, component-based design, prototyping, visual hierarchy, feedback mechanisms, usability testing","Bachelor's (UI/UX Design, Human-Computer Interaction, Web Development)"
Web Development,Progressive Web Apps (PWA),PWA Performance Engineer,"JavaScript, TypeScript, HTML, CSS","Lighthouse, WebPageTest, Chrome DevTools, PageSpeed Insights, webpack, Rollup","Performance profiling, code splitting, lazy loading, resource compression, critical CSS, HTTP/2 optimization, caching strategies, runtime monitoring","Bachelor's (Computer Science, Web Performance Optimization)"
Web Development,Progressive Web Apps (PWA),PWA Accessibility Developer,"JavaScript, HTML, CSS","axe-core, Lighthouse, WAVE, Chrome DevTools, screen readers","ARIA implementation, semantic HTML, keyboard navigation, color contrast, focus management, accessible forms, assistive technology testing, inclusive design practices","Bachelor's (Web Accessibility, Computer Science, Human-Computer Interaction)"
Web Development,Web Performance Optimization,Web Performance Engineer,"JavaScript, TypeScript, HTML, CSS","Lighthouse, WebPageTest, Chrome DevTools, PageSpeed Insights, GTmetrix, webpack, Rollup, HTTP Archive","Critical rendering path optimization, resource loading strategies, code splitting, lazy loading, caching policies, image optimization, network performance tuning, profiling, performance monitoring","Bachelor's (Computer Science, Web Development)"
Web Development,Web Performance Optimization,Frontend Optimization Specialist,"JavaScript, TypeScript, HTML, CSS","webpack, Rollup, Parcel, Chrome DevTools, Lighthouse, Webpack Bundle Analyzer, Sitespeed.io, Calibre","Bundle size reduction, tree shaking, minification, performance budgets, critical CSS extraction, asynchronous loading, network optimization, build pipeline tuning","Bachelor's (Computer Science, Web Development)"
Web Development,Web Performance Optimization,Lighthouse Optimization Consultant,"JavaScript, HTML, CSS, TypeScript","Lighthouse CLI, Lighthouse CI, PageSpeed Insights, Chrome DevTools, WebPageTest, GitHub Actions, Jenkins","Performance auditing, metric analysis, actionable recommendations, performance budget enforcement, benchmarking, stakeholder communication, continuous integration, reporting","Bachelor's (Web Performance Optimization, Computer Science)"
Web Development,Web Performance Optimization,Critical Rendering Path Engineer,"HTML, CSS, JavaScript, TypeScript","Chrome DevTools Performance Panel, Lighthouse, WebPageTest, SpeedCurve, HTTP Archive, PerfBudget","Render tree optimization, resource prioritization, inline critical CSS, defer non-essential scripts, DOM optimization, preloading resources, font loading optimization, reduce render-blocking assets","Bachelor's (Computer Science, Web Engineering)"
Web Development,Web Performance Optimization,Web Load Time Specialist,"JavaScript, HTML, CSS","GTmetrix, WebPageTest, Pingdom, Lighthouse, Chrome DevTools, New Relic Browser","Load time measurement, waterfall analysis, caching strategies, compression (GZIP/Brotli), CDN configuration, lazy loading, network latency reduction, performance monitoring","Bachelor's (Computer Science, Web Development)"
Web Development,Web Performance Optimization,Core Web Vitals Analyst,"JavaScript, HTML, CSS","Chrome UX Report, Lighthouse, PageSpeed Insights, Web Vitals JS, Google Search Console, WebPageTest","LCP optimization, FID reduction, CLS minimization, user-centric metric analysis, performance monitoring, reporting, recommendation synthesis, continuous tracking","Bachelor's (Web Analytics, Computer Science, Web Development)"
Web Development,Web Performance Optimization,JavaScript Performance Engineer,"JavaScript, TypeScript","Chrome DevTools, Node.js profiler, Lighthouse, webpack, Rollup, V8 profiling tools","Event loop tuning, memory management, garbage collection optimization, code profiling, algorithm optimization, asynchronous programming, DOM update efficiency, benchmarking","Bachelor's (Computer Science, Web Development)"
Web Development,Web Performance Optimization,Page Speed Optimization Developer,"JavaScript, TypeScript, HTML, CSS","Lighthouse, WebPageTest, Chrome DevTools, GTmetrix, PageSpeed Insights, webpack, Rollup, HTTP Archive","Critical rendering path optimization, resource prioritization, lazy loading, code splitting, bundling, compression (GZIP/Brotli), image optimization, performance budgeting, network tuning, profiling","Bachelor's (Computer Science, Web Performance Engineering)"
Web Development,Web Performance Optimization,Image & Asset Optimization Engineer,"JavaScript, Python, HTML, CSS","ImageMagick, Squoosh, SVGO, Cloudinary, Gulp, webpack, Sharp, AVIF/HEIC encoders","Responsive image workflows, format selection, compression techniques, sprite generation, SVG optimization, CSS sprites, lazy loading, asset pipeline automation, caching, build integration","Bachelor's (Computer Science, Web Development, Digital Media Optimization)"
Web Development,Web Performance Optimization,CDN Optimization Engineer,"JavaScript, Python, Go","Cloudflare, AWS CloudFront, Akamai, Fastly, Google Cloud CDN, KeyCDN, Terraform","Cache configuration, TTL and purging strategies, origin failover, HTTP header tuning, geo-routing, SSL/TLS offload, load balancing, performance monitoring, cost optimization","Bachelor's (Computer Science, Cloud Computing, Web Infrastructure)"
Web Development,Web Performance Optimization,Web Caching Strategy Specialist,"JavaScript, Python","Varnish, Nginx, Squid, Redis, Memcached, Cloudflare, Fastly, HTTP Cache APIs","Cache layering, invalidation and sweep strategies, TTL policy, ETag/If-Modified-Since, cache warming, stale-while-revalidate, content negotiation, header management, CDN integration","Bachelor's (Computer Science, Web Systems)"
Web Development,Web Performance Optimization,Real User Monitoring (RUM) Analyst,"JavaScript, TypeScript","New Relic Browser, Dynatrace RUM, Datadog RUM, Google Analytics, mPulse, Tealium, SpeedCurve","Instrumentation and tagging, metric collection (LCP, FID, CLS), user segmentation, dashboarding, trend analysis, correlation with business metrics, alerting, data visualization, performance benchmarking","Bachelor's (Computer Science, Web Analytics, Information Systems)"
